method,roi,attribution,a1_capture,a1_umi_density,a1_umi_density_corrected,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw
p3,roi12,wba,0.6441563983570705,13.859603104991178,13.364583333333332,535.5,468.0,0.011879049676025918,0.7961897850036621,0.005399568034557235,921,926
p3,roi13,wba,0.860860754093115,15.994418115456211,14.7,1008.0,829.0,0.01884570082449941,0.7301730513572693,0.004711425206124852,845,849
p3,roi14,wba,0.8226193651640438,12.469887742404099,11.356060606060606,661.0,569.0,0.02191464821222607,0.7672483921051025,0.0057670126874279125,859,867
p3,roi15,wba,0.6359866845763009,15.560001464585895,12.0,505.0,365.0,0.011299435028248588,0.7095943093299866,0.00903954802259887,864,885
nuc,roi1,wba,0.4077862268394559,15.78499870393651,7.722222222222222,260.5,199.0,0.00477326968973747,0.7980173230171204,0.007159904534606206,832,838
nuc,roi2,wba,0.4340035198122767,18.925847603319816,9.75,352.0,244.0,0.0036363636363636364,0.7648413777351379,0.013333333333333334,814,825
nuc,roi3,wba,0.3937713310580205,14.137001362900882,7.4,289.0,166.0,0.005412719891745603,0.7139180898666382,0.06359945872801083,692,739
nuc,roi4,wba,0.4635113220013214,25.310559731028413,14.3875,621.5,537.0,0.018518518518518517,0.7706927061080933,0.0030864197530864196,646,648
nuc,roi5,wba,0.4441658219068452,22.52614948982211,13.38888888888889,662.0,551.0,0.006568144499178982,0.7472456097602844,0.0,601,609
nuc,roi6,wba,0.5887217242851046,18.16220783690978,11.785714285714286,505.0,443.0,0.003051881993896236,0.8217907547950745,0.0,983,983
nuc,roi7,wba,0.42561131844260014,30.826333744010082,16.545454545454547,549.0,474.0,0.00830367734282325,0.8009397983551025,0.004744958481613286,837,843
nuc,roi8,wba,0.3985271359197396,12.857608528666201,7.079166666666667,354.5,311.5,0.0017793594306049821,0.8048498034477234,0.005338078291814947,544,562
nuc,roi9,wba,0.4653085168790998,20.117986711122466,12.849358974358974,528.0,469.0,0.007792207792207792,0.8203672766685486,0.0012987012987012987,767,770
nuc,roi10,wba,0.394632949210414,12.66103262170221,6.839285714285714,261.0,176.0,0.009538950715421303,0.7353849411010742,0.030206677265500796,610,629
nuc,roi11,wba,0.33909333333333336,18.392266136143554,9.516145833333333,370.0,237.0,0.010238907849829351,0.7275300621986389,0.02218430034129693,573,586
nuc,roi12,wba,0.38800874806635727,19.232438403284547,12.7578125,512.5,446.0,0.007692307692307693,0.8122308850288391,0.0,650,650
nuc,roi13,wba,0.46184203509146177,23.042786169257678,14.344999999999999,939.5,789.5,0.007662835249042145,0.7304480671882629,0.007662835249042145,517,522
nuc,roi14,wba,0.42763403574286474,17.445617277484732,10.75,558.0,485.0,0.014109347442680775,0.782738447189331,0.008818342151675485,561,567
nuc,roi15,wba,0.1731005080885359,24.074297035610805,10.825757575757576,356.0,255.0,0.006060606060606061,0.7437607049942017,0.0030303030303030303,328,330
stardist,roi1,wba,0.6509050016065118,14.749286704731693,7.834375,246.5,195.0,0.004143646408839779,0.7794179916381836,0.016574585635359115,1424,1448
stardist,roi2,wba,0.6468455015732494,17.5631651260601,9.5,308.0,224.0,0.0029069767441860465,0.7457113265991211,0.0377906976744186,1323,1376
stardist,roi3,wba,0.6152410409556314,12.823417609944247,7.05,222.0,134.0,0.004487658937920718,0.6982818245887756,0.07703814510097233,1234,1337
stardist,roi4,wba,0.6355336656856267,25.67975036293182,14.795634920634921,565.0,489.0,0.013725490196078431,0.7838099002838135,0.00196078431372549,1017,1020
stardist,roi5,wba,0.5974497145601024,24.106426594154474,13.721405228758169,534.0,456.0,0.006692160611854685,0.7704280018806458,0.0009560229445506692,1009,1046
stardist,roi6,wba,0.6959560392658984,18.706909895241285,11.8125,538.0,471.0,0.0017683465959328027,0.8130651116371155,0.0017683465959328027,1129,1131
stardist,roi7,wba,0.6861248816353813,29.53271896072059,16.625,497.0,432.0,0.00739247311827957,0.8029321432113647,0.010752688172043012,1466,1488
stardist,roi8,wba,0.6339719301990501,12.652378689434737,7.345238095238095,309.0,271.0,0.006769825918762089,0.8157443404197693,0.0029013539651837525,983,1034
stardist,roi9,wba,0.6352727854514426,19.96948794845191,12.214285714285714,486.0,426.0,0.006346328195829556,0.821304976940155,0.004533091568449683,1095,1103
stardist,roi10,wba,0.5537238583013231,12.33038681453277,6.5,206.5,138.0,0.0072992700729927005,0.7225281000137329,0.05474452554744526,1036,1096
stardist,roi11,wba,0.6199466666666666,17.78573630191501,9.522727272727273,330.0,222.0,0.01173512154233026,0.7520537972450256,0.027661357921207042,1160,1193
stardist,roi12,wba,0.49389235611031096,20.46796265835814,12.726388888888888,491.5,429.5,0.005773672055427252,0.8105547428131104,0.008083140877598153,859,866
stardist,roi13,wba,0.6086075409311503,23.449127839664975,14.182748538011696,742.5,626.5,0.0069605568445475635,0.7741098403930664,0.016241299303944315,847,862
stardist,roi14,wba,0.6029874633235529,17.20564912711089,10.311011904761905,447.0,392.5,0.009202453987730062,0.8131687641143799,0.015337423312883436,960,978
stardist,roi15,wba,0.551013257022718,20.51550912040513,10.958333333333334,343.0,263.0,0.007597340930674264,0.7461451888084412,0.011396011396011397,1020,1053
