no_wba,wba,diff
0.7215739705359252,0.7369400216503539,0.01536605111442868
0.7161119486899676,0.7356401294805627,0.01952818079059504
0.7154469089806411,0.7394809535017945,0.02403404452115343
0.7137903703863209,0.7335769089130013,0.01978653852668044
0.7146888745622809,0.7388450119442027,0.024156137381921794
0.7209950892525763,0.7357461826930022,0.01475109344042591
0.7267154001728362,0.7367116067087088,0.009996206535872632
0.7190793304322581,0.7430697948052651,0.023990464373007003
0.7218397718045851,0.7357936302724309,0.013953858467845803
0.7243104014504774,0.7356553702742673,0.01134496882378988
0.7295082467437949,0.7380078199707478,0.008499573226952939
0.7178501263296421,0.7452858574587742,0.027435731129132113
0.7244295538460475,0.7401434589051136,0.015713905059066113
0.7130696456290656,0.7396840346807942,0.026614389051728637
0.715105993757766,0.732067490292511,0.01696149653474499
0.7194574241671017,0.7331380710929798,0.013680646925878115
0.7201842272966259,0.7348752502475283,0.01469102295090241
0.7145035995184575,0.7413785221550605,0.02687492263660296
0.7179375700976107,0.7312634821950016,0.013325912097390868
0.7144485508976013,0.7360967329285273,0.021648182030926
0.7105821589608027,0.7436160849862831,0.03303392602548039
0.7219356080003025,0.7396155696193485,0.017679961619045947
0.7122261955536283,0.7285640825226081,0.016337886968979753
0.7259652634116234,0.7397238459330864,0.013758582521463003
0.7203577233161438,0.7333009376286529,0.01294321431250911
0.724759315517631,0.7386071622564048,0.013847846738773817
0.7187593774198255,0.7421105631627364,0.02335118574291084
0.7207882967277267,0.7361189260548275,0.015330629327100831
0.7218412305167023,0.7405523324612252,0.018711101944522857
0.7240853560089938,0.7412100303113186,0.017124674302324783
0.7269076475485792,0.7418311444785307,0.01492349692995154
0.7163346909884016,0.7387766351682747,0.022441944179873108
0.7107416564848703,0.7313581469954206,0.020616490510550256
0.7206638022059577,0.7398720408892503,0.019208238683292578
0.7208776382077902,0.7360300990847326,0.015152460876942442
0.7236527999449461,0.734304131606059,0.010651331661112873
0.716391506257701,0.7445486807881067,0.02815717453040567
0.7135732786287059,0.7395206261464176,0.02594734751771166
0.7115699796683125,0.7347827364405372,0.023212756772224674
0.71443879055445,0.7317587938296529,0.01732000327520289
0.7131158784935776,0.743734338656454,0.030618460162876393
0.7215230188862244,0.7313875969937245,0.009864578107500077
0.7165833696400973,0.7381438221277445,0.021560452487647264
0.7185259251218487,0.7409561648542213,0.02243023973237268
0.7190541846647235,0.7391243535737633,0.020070168909039787
0.7195531694595173,0.737777544707839,0.018224375248321656
0.7158127125703425,0.7342687678169667,0.018456055246624192
0.7184564308355649,0.7336903692886851,0.015233938453120266
0.7221451641089764,0.7396152841091873,0.017470120000210865
0.7183709146977547,0.7387261878068747,0.020355273109119998
0.7207802338580961,0.7345618991316503,0.013781665273554178
0.7199734929411917,0.7376938439839754,0.01772035104278369
0.7250953673263633,0.7357914332754418,0.01069606594907857
0.7205432094266468,0.7318208176365067,0.011277608209859902
0.7151254136649631,0.7379505975274265,0.02282518386246346
0.7116538987501578,0.7331412714388662,0.021487372688708373
0.7156799226587118,0.7372751822910589,0.021595259632347097
0.7171703326034208,0.736696607523515,0.019526274920094178
0.7163004900418207,0.732802385306763,0.01650189526494228
0.7218379707068815,0.738068513266788,0.016230542559906525
0.7207581349724748,0.7444975266498973,0.02373939167742256
0.7165661392660126,0.7340416440998806,0.01747550483386795
0.720257872222591,0.732859273818296,0.012601401595704997
0.7144619703098377,0.7419079008936073,0.02744593058376954
0.715158590065779,0.7363150949876752,0.021156504921896246
0.7207894620092619,0.7359079084477292,0.015118446438467381
0.7202473826373895,0.7424185196364053,0.02217113699901574
0.7234012273038448,0.738742894447741,0.015341667143896176
0.7221174639392478,0.7357112337916542,0.013593769852406345
0.7279378344055082,0.7329088353325345,0.004971000927026292
0.7173016356772666,0.7397028504532,0.022401214775933376
0.7164468198033874,0.7370696073232104,0.020622787519822938
0.7205641088229877,0.7403137880695165,0.019749679246528817
0.7237021804370706,0.7369712424032406,0.01326906196617006
0.7148255793401475,0.7414912423517387,0.026665663011591234
0.7191236184984952,0.7365087447182578,0.017385126219762626
0.7212972952553441,0.7372933939011577,0.015996098645813528
0.7233495273954559,0.7334235546334194,0.010074027237963468
0.7268138085120384,0.7340717907386749,0.007257982226636539
0.7157099065414453,0.7310553673363143,0.015345460794868981
0.7218218162060648,0.7441096251106122,0.0222878089045474
0.7155715540815514,0.738977423539751,0.02340586945819967
0.7206230072244018,0.7392682596948414,0.018645252470439688
0.7142126121957838,0.7327019909099978,0.018489378714213967
0.7202294363072804,0.7417085972881421,0.021479160980861667
0.7154318984235786,0.7387580571920744,0.023326158768495864
0.7112838755571382,0.7419221129036043,0.03063823734646609
0.7194850005966321,0.7357722990789496,0.01628729848231747
0.7206386819263663,0.7407908973574335,0.020152215431067266
0.7154818486151174,0.7382850216728227,0.022803173057705295
0.7217326617781685,0.7270272012796862,0.005294539501517703
0.7128987094827066,0.736727088310109,0.023828378827402408
0.7186149270825227,0.7372976020729207,0.018682674990397996
0.7211651954487284,0.735805096642906,0.014639901194177685
0.7226330334093432,0.7382774379320244,0.015644404522681232
0.7211668239453669,0.7319326114155711,0.01076578747020418
0.7202870874927358,0.7336469462844135,0.01335985879167767
0.7149147227648455,0.7310138540664071,0.016099131301561598
0.7195497589354379,0.7393721858103535,0.019822426874915533
0.7202021227515163,0.7370428032332224,0.01684068048170606
0.7162557117652919,0.7431386103333631,0.026882898568071245
0.7162462773288327,0.7351807551628086,0.018934477833975838
0.7194596433909914,0.7310613828977326,0.011601739506741149
0.7256963782645012,0.7439070525920376,0.018210674327536425
0.7259834018688153,0.7364542821191639,0.010470880250348591
0.7209342539072092,0.7313012300085421,0.010366976101332859
0.71267975022395,0.7385416090155316,0.025861858791581538
0.7178835342071003,0.736960637378528,0.019077103171427745
0.7144179962433899,0.7380818950919208,0.02366389884853093
0.7213631636616532,0.7349233430109161,0.013560179349262902
0.7165707339440248,0.7452550732263166,0.02868433928229175
0.7181574663828083,0.7387716881887073,0.020614221805899002
0.7160721617229174,0.7373741862361454,0.021302024513227935
0.7231004103542238,0.7453214032206611,0.022220992866437306
0.7190985231561549,0.7334239374475057,0.014325414291350813
0.7138879540187599,0.7352755204374894,0.02138756641872952
0.7194506019934828,0.738878420710365,0.01942781871688226
0.7165754954878184,0.7385269312668309,0.021951435779012485
0.7237714574827062,0.7390789035638672,0.01530744608116097
0.7203235274872737,0.7381109149373466,0.01778738745007291
0.7189330467596406,0.7329384116841677,0.014005364924527086
0.7170854766346338,0.7352057903277417,0.018120313693107848
0.718900221088055,0.735928234318919,0.017028013230864003
0.7159754352562282,0.7396781135202405,0.02370267826401229
0.7196523495776576,0.7384519264789938,0.018799576901336268
0.7165228805041457,0.7370775882349198,0.020554707730774058
0.707059286210166,0.734676461226026,0.02761717501586003
0.7205826826126669,0.7368020272849244,0.016219344672257496
0.7170847716152908,0.7343438865761275,0.017259114960836652
0.7102939215054781,0.7394731394526437,0.029179217947165603
0.7276314379357263,0.7372212919247025,0.009589853988976271
0.7204066464798872,0.7398480597936096,0.0194414133137224
0.7198664159810753,0.7333899890307953,0.013523573049720072
0.7228918349433737,0.73884104512255,0.015949210179176276
0.7177673769891982,0.7402815631441734,0.022514186154975135
0.7208783994359107,0.7314511046082433,0.010572705172332553
0.7135752452942558,0.7378055392432566,0.02423029394900089
0.721614906557204,0.7341953472459085,0.012580440688704564
0.7171149001239512,0.7300844957887488,0.012969595664797606
0.7198887968266574,0.7324788774913062,0.01259008066464884
0.7168711649890966,0.7430102244229411,0.026139059433844425
0.7205790498970763,0.7363242868063342,0.015745236909257887
0.7228927214330559,0.7346555858642435,0.01176286443118757
0.7189163440870501,0.7438215724448534,0.02490522835780329
0.7160770424785058,0.7315880367353634,0.015510994256857646
0.7169609324263112,0.7388105917812482,0.02184965935493699
0.7176454719200047,0.7344914334318292,0.016845961511824492
0.7325271141505942,0.7328978678984025,0.0003707537478082612
0.718324790036762,0.7290985179140341,0.010773727877272155
0.7149753662780697,0.7413732471297959,0.02639788085172623
0.7191349307014608,0.7305475754723505,0.011412644770889657
0.7258208456444533,0.7470157030813925,0.021194857436939274
0.7264871458320978,0.7331795023472001,0.006692356515102249
0.7220136682142261,0.7373637492852901,0.015350081071064059
