,0_1,0_2,0_4,24_1,24_2,24_3,24_4,48_1,48_2,48_3,48_4,72_1,72_2,72_3,72_4,96_2,96_3,96_4,Protein name,ANOVA Significant,Cluster,Number Of Imputations,N: -Log ANOVA p value,N: ANOVA q-value,T: Protein.Group,T: Protein.Ids,T: Gene name
30,-0.9976608157157898,0.23275789618492126,-0.2137702852487564,-1.398372769355774,-1.0743637084960938,-1.375467300415039,-0.3546896278858185,-2.2578353881835938,-1.981143832206726,-1.6749417781829834,-0.7855586409568787,-1.545738935470581,-1.7063966989517212,-1.8277416229248047,-2.114360809326172,-0.2937334179878235,-0.33165329694747925,-0.70604407787323,Coactosin-like protein,+,Cluster -1366,0,2.0913039999344605,0.021749209694415173,Q9CQI6,Q9CQI6,Cotl1
31,-0.3524417579174042,-0.56719970703125,-0.6125920414924622,-0.9065580368041992,-0.031123511493206024,-1.4908347129821777,-0.3391832411289215,-0.3560038208961487,-2.0539920330047607,-1.301366925239563,-0.5552657246589661,-1.0084433555603027,-1.845655918121338,-2.0191121101379395,-2.0934247970581055,-0.6197529435157776,-0.9038631916046143,-0.4457501471042633,ATP-citrate synthase,+,Cluster -1366,0,2.8674671167326165,0.006762264150943396,Q91V92,Q91V92,Acly
32,0.4080231785774231,-0.2793610692024231,1.0871453285217285,-2.3426623344421387,-0.2900346517562866,-0.5283243656158447,0.7350944876670837,-0.9315553903579712,-1.8261027336120605,-0.7085220217704773,-1.438425064086914,-1.4936952590942383,-1.3580290079116821,-1.8297719955444336,-2.1554551124572754,-0.3237368166446686,0.2211383730173111,0.453463613986969,Cytosolic acyl coenzyme A thioester hydrolase,+,Cluster -1366,0,2.05614399009051,0.02291914022517912,Q91V12,Q91V12,Acot7
33,-1.1192635297775269,-1.0983600616455078,-1.3855947256088257,0.04880455881357193,-0.39048251509666443,-1.7662217617034912,-0.6365828514099121,-0.6026268005371094,-2.583756923675537,-1.1908764839172363,-1.0672887563705444,-1.3300199508666992,-1.2298355102539062,-2.4958484172821045,-2.153987169265747,-1.3084217309951782,-1.158618450164795,-1.0316487550735474,PDZ and LIM domain protein 5,+,Cluster -1366,0,1.979701022490533,0.02542034548944338,Q8CI51,Q8CI51,Pdlim5
34,-0.6860858201980591,-0.3358954191207886,-0.5527365803718567,-0.6087284684181213,-0.5310260057449341,-1.163954257965088,0.040822308510541916,0.004885834641754627,-1.499061107635498,-0.9180141687393188,-0.42215633392333984,-0.800347089767456,-1.4841946363449097,-2.6211771965026855,-1.4320142269134521,-0.2063026875257492,-0.1454731673002243,0.4284683167934418,Copine-3,+,Cluster -1366,0,2.0097963741837908,0.024431256181998023,Q8BT60,Q8BT60,Cpne3
35,-0.3366250693798065,-0.08098425716161728,-0.019282743334770203,-0.45539480447769165,0.050070591270923615,-1.0450571775436401,-0.34443923830986023,-0.0690394714474678,-2.814521312713623,-1.2257187366485596,-0.5851583480834961,-0.7049401998519897,-2.1093814373016357,-1.4930710792541504,-1.535418152809143,0.1233430802822113,0.17899255454540253,0.3066961467266083,Cullin-associated NEDD8-dissociated protein 1,+,Cluster -1366,0,1.8885148052361407,0.02947786811201445,Q6ZQ38,Q6ZQ38,Cand1
36,-1.233466625213623,-0.1531277894973755,-0.18932218849658966,-1.4701871871948242,-0.5099998712539673,-1.0630911588668823,-0.043217096477746964,-0.5859725475311279,-2.4867982864379883,-1.7185207605361938,-0.6828737258911133,-1.2778494358062744,-1.475372076034546,-1.6375923156738281,-2.4266881942749023,-1.7625583410263062,-0.6343711018562317,-0.5338137149810791,Protein phosphatase 3 catalytic subunit alpha,+,Cluster -1366,0,3.1719197335459643,0.004619854721549637,P63328,P63328,Ppp3ca
37,-0.06658690422773361,-0.06126059964299202,0.25726789236068726,-0.7530843615531921,0.12773390114307404,-2.206045389175415,0.6276987791061401,-1.1328318119049072,-2.7003471851348877,-2.436300754547119,-0.9667245149612427,-0.8916563987731934,-1.96807062625885,-0.7481160163879395,-1.4239267110824585,-1.315659761428833,-1.1094592809677124,-0.8247634172439575,2-iminobutanoate/2-iminopropanoate deaminase,+,Cluster -1366,0,2.7154723603299726,0.008477815699658702,P52760,P52760,Rida
38,-0.7361999154090881,-0.04744848981499672,0.5109801292419434,-0.4435751438140869,-0.2855570316314697,-1.4291377067565918,-0.33717185258865356,-1.1239445209503174,-3.3840041160583496,-1.5189450979232788,-1.077752947807312,-1.1897178888320923,-1.4850692749023438,-1.2513741254806519,-1.1601600646972656,-0.7772424221038818,0.24141131341457367,-0.42117568850517273,C-terminal-binding protein 1,+,Cluster -1366,0,2.759233357780632,0.007943760984182778,O88712,O88712,Ctbp1
39,-1.6549921035766602,-0.8422994017601013,-0.45423242449760437,-1.167661190032959,-0.03922053426504135,-1.2148367166519165,-0.029678866267204285,-0.9995102882385254,-1.3574092388153076,-1.4507783651351929,-0.9284884929656982,-1.0625282526016235,-2.1301357746124268,-2.153298854827881,-1.6787010431289673,-0.4113682210445404,-0.18804416060447693,0.4963352680206299,"Serine hydroxymethyltransferase, cytosolic",+,Cluster -1366,0,2.2512033826955795,0.016861538461538463,P50431,P50431,Shmt1
40,-1.0521970987319946,-0.619635820388794,-0.10899584740400314,-0.9954338073730469,-0.5374951958656311,-1.963543176651001,-0.19749145209789276,-0.5730733275413513,-1.3497012853622437,-1.7132623195648193,-0.6369288563728333,-1.2897732257843018,-2.4300217628479004,-1.8870631456375122,-1.9291858673095703,-0.9071725010871887,-1.2744394540786743,-1.1687097549438477,m7GpppX diphosphatase,+,Cluster -1366,0,3.695675931391507,0.0026507936507936506,Q9DAR7,Q9DAR7,Dcps
41,-1.2937953472137451,0.7863317131996155,0.2990790903568268,-0.12480081617832184,-0.18658773601055145,-1.643213152885437,-0.541287362575531,-0.730014979839325,-2.4491915702819824,-1.5935983657836914,-1.0670878887176514,-1.656714916229248,-2.5980310440063477,-2.300616502761841,-2.3435075283050537,-1.5880521535873413,-1.963883876800537,-1.5557972192764282,Sepiapterin reductase,+,Cluster -1366,0,4.333902707056309,0.0015539568345323742,Q64105,Q64105,Spr
42,-0.43495336174964905,0.15343308448791504,-0.30813953280448914,-0.8777212500572205,-0.8534493446350098,-0.8908532857894897,-0.14473560452461243,-1.3604717254638672,-1.783663272857666,-1.7187916040420532,-0.8094795942306519,-2.03902006149292,-2.269481897354126,-1.8415014743804932,-2.0149245262145996,-1.619943618774414,-1.5510807037353516,-0.5348091125488281,Inositol monophosphatase 1,+,Cluster -1366,0,4.639904649380012,0.0013703703703703705,O55023,O55023,Impa1
43,-0.6579153537750244,-0.8444549441337585,-0.13556396961212158,-0.43427810072898865,-0.7510728240013123,-1.9015285968780518,-0.24743500351905823,-0.7918721437454224,-2.2104673385620117,-1.8007605075836182,-1.231630802154541,-2.3225791454315186,-2.715287208557129,-2.888958215713501,-3.4311251640319824,-1.6943126916885376,-2.15557599067688,-1.5120303630828857,Leukotriene A-4 hydrolase,+,Cluster -1366,0,6.038867503649349,0.0011666666666666668,P24527,P24527,Lta4h
44,-2.53349232673645,-1.8329044580459595,0.23028583824634552,-2.4692471027374268,-1.5086877346038818,-2.3627824783325195,-1.2669910192489624,-0.7029964923858643,-1.1594542264938354,-2.2587244510650635,-1.347562551498413,-1.3305903673171997,-1.578316330909729,-1.8771945238113403,-2.263389825820923,-1.6938486099243164,-1.2701350450515747,-1.5491259098052979,"Acyl-coenzyme A thioesterase 9, mitochondrial",+,Cluster -1366,0,1.6152429325420963,0.046904477611940304,Q9R0X4,Q9R0X4,Acot9
45,-2.7405145168304443,-2.7382569313049316,0.09265770018100739,-0.6921513080596924,-0.4969051778316498,-1.0689723491668701,-1.226945161819458,-0.4435506761074066,-1.6691886186599731,-1.8255623579025269,-0.6967551112174988,-0.6627002358436584,-1.0733076333999634,-1.6974096298217773,-1.9667547941207886,-1.8847887516021729,-0.9340972900390625,-1.6717976331710815,Equilibrative nucleoside transporter 1,+,Cluster -1366,0,1.8154686557579611,0.03313601368691189,Q9JIM1,Q9JIM1,Slc29a1
46,-1.5539579391479492,-2.8553037643432617,-0.16520260274410248,-1.5553539991378784,-0.4661961793899536,-1.4521461725234985,0.3759446442127228,-1.1779190301895142,-1.9948338270187378,-1.3739335536956787,-2.1543774604797363,-0.40476539731025696,-0.7973913550376892,-1.145409107208252,-0.7241407036781311,-2.4328083992004395,-1.0644292831420898,-1.13347589969635,Regulator of G-protein signaling 18,+,Cluster -1366,0,1.6472592016593375,0.044411899313501146,Q99PG4,Q99PG4,Rgs18
47,-2.086455821990967,-1.0263437032699585,0.3721802830696106,-1.0624608993530273,-0.96738600730896,-0.7519391775131226,-0.5064542889595032,-0.42627835273742676,-2.847007989883423,-0.9011220335960388,-0.3068089783191681,-1.42118501663208,-0.898434042930603,-1.1608753204345703,-1.1142221689224243,-3.6154391765594482,-0.6330889463424683,-2.229714870452881,Microtubule-associated protein 6,+,Cluster -1366,0,2.5092904773795164,0.011656477438136827,Q7TSJ2,Q7TSJ2,Map6
