Gene,Proteosome,Pathways,Pathway_Count,12,24,48,72,96
Psmd11,✓,"Proteosome, Shh, Wnt",3,-0.616153558095295,0.3847657839457206,0.3963514963785819,0.0872098604838065,0.6755949656168632
Psmd13,✓,"Proteosome, Shh, Wnt",3,-0.1354378064473458,0.559092680613201,0.5820304552714042,0.0041681925455741,0.9252853393554688
Psmd2,✓,"Proteosome, Shh, Wnt",3,-0.2441070874532052,0.0485197703043631,0.0568019549051932,-0.5773251851399728,0.2173659006754569
Psmd5,✓,Proteosome,1,-1.0102046330769845,-0.4982236226399728,-0.6501653989156075,-1.3871115048726388,-0.802849451700844
Psmd6,✓,"Proteosome, Shh, Wnt",3,-0.8397610982259103,0.3132034937540702,0.3016149202982596,0.224892298380535,1.140968958536785
Psmd8,✓,"Proteosome, Shh, Wnt",3,-0.5331657727559396,0.5661403338114432,0.2821556727091483,0.2435123125712088,0.8640702565511091
Psmd9,✓,Proteosome,1,-0.9802940686543772,0.106979529062908,-0.6325195630391427,-0.0320914586385079,0.3371302286783866
Ago2,,Wnt,1,-0.8807682196299247,-0.6477128664652518,-0.562137285868328,-1.9691139856974296,-2.180803934733074
Ahcyl1,,DAG,1,-1.382160822550457,-0.4921733538309745,-0.6225091616312675,-1.963624159495037,-1.652780532836914
Akr1a1,,Glutathione,1,-1.082175572713215,-0.4588139851888009,-0.4589107831319161,-0.7741354306538888,-1.2886676788330078
Akt1s1,,"Hsf1, mTOR",2,-0.4846552213033028,1.4738723436991386,1.2233997980753593,1.2742001215616874,0.2582756678263358
Cab39,,mTOR,1,-1.650476296742756,0.4809362093607596,-0.2277077039082833,0.0460702578226737,0.9139080047607422
Cav1,,Wnt,1,0.4775060017903634,0.1430795987447091,0.0097730954488106,-0.2497693697611502,-2.004881540934246
Cltb,,Wnt,1,0.437726656595867,0.5062553087870292,0.5897413889567069,1.0830966631571464,0.5137532552083357
Cltc,,Wnt,1,0.2185796101888009,-0.0112935702006033,0.2096527417500802,-0.9246474901835136,-0.3505859375
Cndp2,,Glutathione,1,-0.8991457621256522,0.160091718037922,0.1793816884358712,-0.6383954683939628,-0.4583237965901716
Ctbp1,,Wnt,1,-0.9925324122111014,-0.5151321093241386,-1.146769205729168,-1.164277235666912,-1.112661361694336
Eif4e,,mTOR,1,-0.1433037122090645,0.4317657152811698,0.5131680170694999,0.9065171877543144,0.906300226847332
Eif4g1,,mTOR,1,0.2596200307210274,0.8390897115071603,1.2904265721638986,0.9496858914693184,1.155041376749672
Eif4g2,,mTOR,1,0.3691099484761544,0.679287274678547,0.875116189320881,1.221241792043049,1.3507308959960938
Fkbp4,,Hsf1,1,-1.3739007314046212,0.5807630221049003,0.3839794794718436,0.7837459246317557,1.2522608439127616
Fzd7,,Wnt,1,-0.3556634585062674,-0.2008411089579276,0.5830772717793771,1.264339764912922,0.5463040669759103
Ggct,,Glutathione,1,0.0089131196339931,2.3163932164510097,0.1565140088399257,0.1682148774464931,0.0083119074503592
Gnb1,,Wnt,1,-1.1361664136250802,-0.2063105901082345,0.1701294581095389,0.5922171274820975,0.9093831380208356
